"soi.date.orig","SOI","yr","mo.no.char","mo.no","mo.char"
196308,0,1963,"08",8,"Aug"
196309,-0.6,1963,"09",9,"Sep"
196310,-1.2,1963,"10",10,"Oct"
196311,-0.8,1963,"11",11,"Nov"
196312,-1.2,1963,"12",12,"Dec"
196401,-0.4,1964,"01",1,"Jan"
196402,0,1964,"02",2,"Feb"
196403,1.1,1964,"03",3,"Mar"
196404,1.1,1964,"04",4,"Apr"
196405,0.2,1964,"05",5,"May"
196406,0.8,1964,"06",6,"Jun"
196407,0.6,1964,"07",7,"Jul"
196408,1.5,1964,"08",8,"Aug"
196409,1.3,1964,"09",9,"Sep"
196410,1.3,1964,"10",10,"Oct"
196411,0.2,1964,"11",11,"Nov"
196412,-0.3,1964,"12",12,"Dec"
196501,-0.4,1965,"01",1,"Jan"
196502,0.4,1965,"02",2,"Feb"
196503,0.8,1965,"03",3,"Mar"
196504,-0.5,1965,"04",4,"Apr"
196505,0.2,1965,"05",5,"May"
196506,-0.6,1965,"06",6,"Jun"
196507,-1.8,1965,"07",7,"Jul"
196508,-0.7,1965,"08",8,"Aug"
196509,-1.3,1965,"09",9,"Sep"
196510,-0.9,1965,"10",10,"Oct"
196511,-1.5,1965,"11",11,"Nov"
196512,0.2,1965,"12",12,"Dec"
196601,-1.3,1966,"01",1,"Jan"
196602,-0.2,1966,"02",2,"Feb"
196603,-0.9,1966,"03",3,"Mar"
196604,-0.2,1966,"04",4,"Apr"
196605,-0.4,1966,"05",5,"May"
196606,0.3,1966,"06",6,"Jun"
196607,0.1,1966,"07",7,"Jul"
196608,0.6,1966,"08",8,"Aug"
196609,-0.2,1966,"09",9,"Sep"
196610,-0.1,1966,"10",10,"Oct"
196611,0,1966,"11",11,"Nov"
196612,-0.3,1966,"12",12,"Dec"
196701,1.7,1967,"01",1,"Jan"
196702,1.7,1967,"02",2,"Feb"
196703,1.2,1967,"03",3,"Mar"
196704,0,1967,"04",4,"Apr"
196705,0,1967,"05",5,"May"
196706,0.6,1967,"06",6,"Jun"
196707,0.2,1967,"07",7,"Jul"
196708,0.7,1967,"08",8,"Aug"
196709,0.5,1967,"09",9,"Sep"
196710,0.1,1967,"10",10,"Oct"
196711,-0.4,1967,"11",11,"Nov"
196712,-0.6,1967,"12",12,"Dec"
196801,0.5,1968,"01",1,"Jan"
196802,1.3,1968,"02",2,"Feb"
196803,0.1,1968,"03",3,"Mar"
196804,0,1968,"04",4,"Apr"
196805,1.2,1968,"05",5,"May"
196806,1.1,1968,"06",6,"Jun"
196807,0.7,1968,"07",7,"Jul"
196808,0.3,1968,"08",8,"Aug"
196809,-0.3,1968,"09",9,"Sep"
196810,-0.1,1968,"10",10,"Oct"
196811,-0.3,1968,"11",11,"Nov"
196812,0.2,1968,"12",12,"Dec"
196901,-1.5,1969,"01",1,"Jan"
196902,-0.5,1969,"02",2,"Feb"
196903,0.4,1969,"03",3,"Mar"
196904,-0.4,1969,"04",4,"Apr"
196905,-0.2,1969,"05",5,"May"
196906,0.2,1969,"06",6,"Jun"
196907,-0.5,1969,"07",7,"Jul"
196908,-0.1,1969,"08",8,"Aug"
196909,-1,1969,"09",9,"Sep"
196910,-0.9,1969,"10",10,"Oct"
196911,-0.1,1969,"11",11,"Nov"
196912,0.4,1969,"12",12,"Dec"
197001,-1.1,1970,"01",1,"Jan"
197002,-1,1970,"02",2,"Feb"
197003,0.6,1970,"03",3,"Mar"
197004,-0.1,1970,"04",4,"Apr"
197005,0.4,1970,"05",5,"May"
197006,1,1970,"06",6,"Jun"
197007,-0.4,1970,"07",7,"Jul"
197008,0.6,1970,"08",8,"Aug"
197009,1.2,1970,"09",9,"Sep"
197010,1,1970,"10",10,"Oct"
197011,1.6,1970,"11",11,"Nov"
197012,1.9,1970,"12",12,"Dec"
197101,0.4,1971,"01",1,"Jan"
197102,2,1971,"02",2,"Feb"
197103,2.3,1971,"03",3,"Mar"
197104,1.7,1971,"04",4,"Apr"
197105,0.9,1971,"05",5,"May"
197106,0.4,1971,"06",6,"Jun"
197107,0.2,1971,"07",7,"Jul"
197108,1.5,1971,"08",8,"Aug"
197109,1.4,1971,"09",9,"Sep"
197110,1.7,1971,"10",10,"Oct"
197111,0.5,1971,"11",11,"Nov"
197112,0.3,1971,"12",12,"Dec"
