"soi.date.orig","SOI","yr","mo.no.char","mo.no","mo.char"
200507,0.2,2005,"07",7,"Jul"
200508,-0.3,2005,"08",8,"Aug"
200509,0.4,2005,"09",9,"Sep"
200510,1.2,2005,"10",10,"Oct"
200511,-0.2,2005,"11",11,"Nov"
200512,0,2005,"12",12,"Dec"
200601,1.7,2006,"01",1,"Jan"
200602,0.1,2006,"02",2,"Feb"
200603,1.8,2006,"03",3,"Mar"
200604,1.1,2006,"04",4,"Apr"
200605,-0.5,2006,"05",5,"May"
200606,-0.2,2006,"06",6,"Jun"
200607,-0.6,2006,"07",7,"Jul"
200608,-1,2006,"08",8,"Aug"
200609,-0.6,2006,"09",9,"Sep"
200610,-1.3,2006,"10",10,"Oct"
200611,0.1,2006,"11",11,"Nov"
200612,-0.3,2006,"12",12,"Dec"
200701,-0.8,2007,"01",1,"Jan"
200702,-0.1,2007,"02",2,"Feb"
200703,0.2,2007,"03",3,"Mar"
200704,-0.1,2007,"04",4,"Apr"
200705,-0.1,2007,"05",5,"May"
200706,0.5,2007,"06",6,"Jun"
200707,-0.3,2007,"07",7,"Jul"
200708,0.4,2007,"08",8,"Aug"
200709,0.2,2007,"09",9,"Sep"
200710,0.7,2007,"10",10,"Oct"
200711,0.9,2007,"11",11,"Nov"
200712,1.7,2007,"12",12,"Dec"
200801,1.8,2008,"01",1,"Jan"
200802,2.6,2008,"02",2,"Feb"
200803,1.4,2008,"03",3,"Mar"
200804,0.7,2008,"04",4,"Apr"
200805,-0.1,2008,"05",5,"May"
200806,0.6,2008,"06",6,"Jun"
200807,0.3,2008,"07",7,"Jul"
200808,1,2008,"08",8,"Aug"
200809,1.2,2008,"09",9,"Sep"
200810,1.3,2008,"10",10,"Oct"
200811,1.3,2008,"11",11,"Nov"
200812,1.4,2008,"12",12,"Dec"
200901,1.1,2009,"01",1,"Jan"
200902,1.9,2009,"02",2,"Feb"
200903,0.4,2009,"03",3,"Mar"
200904,0.8,2009,"04",4,"Apr"
200905,-0.1,2009,"05",5,"May"
200906,0.1,2009,"06",6,"Jun"
200907,0.2,2009,"07",7,"Jul"
200908,-0.2,2009,"08",8,"Aug"
200909,0.3,2009,"09",9,"Sep"
200910,-1.2,2009,"10",10,"Oct"
200911,-0.6,2009,"11",11,"Nov"
200912,-0.7,2009,"12",12,"Dec"
201001,-1.1,2010,"01",1,"Jan"
201002,-1.5,2010,"02",2,"Feb"
201003,-0.7,2010,"03",3,"Mar"
201004,1.2,2010,"04",4,"Apr"
201005,0.9,2010,"05",5,"May"
201006,0.4,2010,"06",6,"Jun"
201007,1.8,2010,"07",7,"Jul"
201008,1.8,2010,"08",8,"Aug"
201009,2.2,2010,"09",9,"Sep"
201010,1.7,2010,"10",10,"Oct"
201011,1.3,2010,"11",11,"Nov"
201012,2.9,2010,"12",12,"Dec"
201101,2.3,2011,"01",1,"Jan"
201102,2.7,2011,"02",2,"Feb"
201103,2.5,2011,"03",3,"Mar"
201104,1.9,2011,"04",4,"Apr"
201105,0.4,2011,"05",5,"May"
201106,0.2,2011,"06",6,"Jun"
201107,1,2011,"07",7,"Jul"
201108,0.4,2011,"08",8,"Aug"
201109,1,2011,"09",9,"Sep"
201110,0.8,2011,"10",10,"Oct"
201111,1.1,2011,"11",11,"Nov"
201112,2.5,2011,"12",12,"Dec"
201201,1.1,2012,"01",1,"Jan"
201202,0.5,2012,"02",2,"Feb"
201203,0.7,2012,"03",3,"Mar"
201204,-0.3,2012,"04",4,"Apr"
201205,0,2012,"05",5,"May"
201206,-0.4,2012,"06",6,"Jun"
201207,0,2012,"07",7,"Jul"
201208,-0.2,2012,"08",8,"Aug"
201209,0.2,2012,"09",9,"Sep"
201210,0.3,2012,"10",10,"Oct"
201211,0.3,2012,"11",11,"Nov"
201212,-0.6,2012,"12",12,"Dec"
201301,-0.1,2013,"01",1,"Jan"
201302,-0.2,2013,"02",2,"Feb"
201303,1.5,2013,"03",3,"Mar"
201304,0.2,2013,"04",4,"Apr"
201305,0.8,2013,"05",5,"May"
201306,1.2,2013,"06",6,"Jun"
201307,0.8,2013,"07",7,"Jul"
201308,0.2,2013,"08",8,"Aug"
201309,0.3,2013,"09",9,"Sep"
201310,-0.1,2013,"10",10,"Oct"
201311,0.7,2013,"11",11,"Nov"
201312,0.1,2013,"12",12,"Dec"
201401,1.4,2014,"01",1,"Jan"
201402,0.1,2014,"02",2,"Feb"
201403,-0.9,2014,"03",3,"Mar"
201404,0.8,2014,"04",4,"Apr"
201405,0.5,2014,"05",5,"May"
201406,0.2,2014,"06",6,"Jun"
201407,-0.2,2014,"07",7,"Jul"
201408,-0.7,2014,"08",8,"Aug"
201409,-0.7,2014,"09",9,"Sep"
201410,-0.6,2014,"10",10,"Oct"
201411,-0.9,2014,"11",11,"Nov"
201412,-0.6,2014,"12",12,"Dec"
201501,-0.8,2015,"01",1,"Jan"
201502,0.2,2015,"02",2,"Feb"
201503,-0.7,2015,"03",3,"Mar"
201504,0,2015,"04",4,"Apr"
201505,-0.7,2015,"05",5,"May"
201506,-0.6,2015,"06",6,"Jun"
201507,-1.1,2015,"07",7,"Jul"
201508,-1.4,2015,"08",8,"Aug"
201509,-1.6,2015,"09",9,"Sep"
201510,-1.7,2015,"10",10,"Oct"
201511,-0.5,2015,"11",11,"Nov"
201512,-0.6,2015,"12",12,"Dec"
201601,-2.2,2016,"01",1,"Jan"
201602,-2,2016,"02",2,"Feb"
201603,-0.1,2016,"03",3,"Mar"
201604,-1.2,2016,"04",4,"Apr"
201605,0.4,2016,"05",5,"May"
201606,0.6,2016,"06",6,"Jun"
201607,0.4,2016,"07",7,"Jul"
201608,0.7,2016,"08",8,"Aug"
201609,1.2,2016,"09",9,"Sep"
201610,-0.3,2016,"10",10,"Oct"
201611,-0.1,2016,"11",11,"Nov"
201612,0.3,2016,"12",12,"Dec"
201701,0.2,2017,"01",1,"Jan"
201702,-0.1,2017,"02",2,"Feb"
201703,0.9,2017,"03",3,"Mar"
201704,-0.2,2017,"04",4,"Apr"
201705,0.3,2017,"05",5,"May"
201706,-0.4,2017,"06",6,"Jun"
