"yr","SOI.mean.win","SOI.mean.spr","SOI.mean.sum","SOI.mean.fal"
1951,0.766666666666667,-0.266666666666667,-0.766666666666667,-0.833333333333333
1952,-0.333333333333333,0.433333333333333,0.133333333333333,-0.266666666666667
1953,-0.133333333333333,-0.466666666666667,-0.8,-0.233333333333333
1954,0.233333333333333,0.4,0.566666666666667,0.6
1955,0.666666666666667,0.733333333333333,1.46666666666667,1.23333333333333
1956,1.4,1.13333333333333,0.8,1.03333333333333
1957,0.233333333333333,-0.1,-0.4,-0.433333333333333
1958,-0.7,0.0666666666666667,0.333333333333333,-0.3
1959,-0.333333333333333,0.266666666666667,-0.133333333333333,0.766666666666667
1960,0.4,0.466666666666667,0.666666666666667,0.466666666666667
1961,-0.4,0.4,0.166666666666667,0.566666666666667
1962,0.6,0.666666666666667,0.366666666666667,0.5
1963,0.9,0.233333333333333,-0.233333333333333,-1.06666666666667
1964,0.233333333333333,0.7,1.13333333333333,0.4
1965,0.266666666666667,-0.3,-1.26666666666667,-0.733333333333333
1966,-0.8,-0.1,0.166666666666667,-0.133333333333333
1967,1.53333333333333,0.2,0.466666666666667,-0.3
1968,0.633333333333333,0.766666666666667,0.233333333333333,-0.0666666666666667
1969,-0.533333333333333,-0.133333333333333,-0.533333333333333,-0.2
1970,-0.5,0.433333333333333,0.466666666666667,1.5
1971,1.56666666666667,1,1.03333333333333,0.833333333333333
1972,0.733333333333333,-0.733333333333333,-1.1,-0.833333333333333
1973,-0.333333333333333,0.533333333333333,1.03333333333333,1.73333333333333
1974,2.3,0.766666666666667,1,0.333333333333333
1975,0.633333333333333,1.03333333333333,2,1.66666666666667
1976,1.6,0.333333333333333,-0.933333333333333,0.266666666666667
1977,0.1,-0.6,-0.9,-1.13333333333333
1978,-1.06666666666667,0.6,0.366666666666667,-0.166666666666667
1979,0.233333333333333,0.333333333333333,0.4,-0.4
1980,0.1,-0.2,-0.0333333333333333,-0.133333333333333
1981,-0.366666666666667,0.633333333333333,0.6,0.1
1982,0.7,-0.4,-1.63333333333333,-2.16666666666667
1983,-3.16666666666667,-0.1,0.133333333333333,0.1
1984,0.3,0.0666666666666667,0.233333333333333,-0.0333333333333333
1985,0.566666666666667,0.4,0.3,-0.133333333333333
1986,0.166666666666667,0.366666666666667,-0.2,-0.666666666666667
1987,-1.06666666666667,-1.26666666666667,-1.1,-0.3
1988,0.0333333333333333,0.366666666666667,1.43333333333333,1.43333333333333
1989,1.26666666666667,1.16666666666667,0.366666666666667,0.0333333333333333
1990,-0.766666666666667,0.566666666666667,-0.133333333333333,-0.133333333333333
1991,0.0666666666666667,-0.566666666666667,-0.633333333333333,-1.16666666666667
1992,-1.93333333333333,-0.433333333333333,-0.0333333333333333,-0.9
1993,-0.7,-0.766666666666667,-0.8,-0.333333333333333
1994,-0.166666666666667,-0.8,-1.36666666666667,-0.966666666666667
1995,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667
1996,0.8,0.766666666666667,0.666666666666667,0.466666666666667
1997,0.6,-1.1,-1.2,-1.23333333333333
1998,-2.36666666666667,-0.0333333333333333,1.13333333333333,1.16666666666667
1999,1.36666666666667,0.633333333333333,0.266666666666667,1.13333333333333
2000,1.23333333333333,0.466666666666667,0.466666666666667,1.23333333333333
2001,1.2,0,-0.133333333333333,-0.0333333333333334
2002,0.433333333333333,-0.366666666666667,-0.7,-0.666666666666667
2003,-0.4,-0.333333333333333,0.1,0.266666666666667
2004,0.1,-0.233333333333333,-0.366666666666667,-0.533333333333333
2005,-0.833333333333333,-0.333333333333333,0.1,0.333333333333333
2006,1.2,0.133333333333333,-0.733333333333333,-0.5
2007,-0.233333333333333,0.1,0.1,1.1
2008,1.93333333333333,0.4,0.833333333333333,1.33333333333333
2009,1.13333333333333,0.266666666666667,0.1,-0.833333333333333
2010,-1.1,0.833333333333333,1.93333333333333,1.96666666666667
2011,2.5,0.833333333333333,0.8,1.46666666666667
2012,0.766666666666667,-0.233333333333333,0,0
2013,0.4,0.733333333333333,0.433333333333333,0.233333333333333
2014,0.2,0.5,-0.533333333333333,-0.7
2015,-0.433333333333333,-0.433333333333333,-1.36666666666667,-0.933333333333333
2016,-1.43333333333333,-0.0666666666666667,0.766666666666667,-0.0333333333333333
