"","yr","variable","MEI"
"159",1974,"feb.mar",-1.767
"160",1975,"feb.mar",-0.879
"161",1976,"feb.mar",-1.234
"162",1977,"feb.mar",0.139
"163",1978,"feb.mar",0.936
"164",1979,"feb.mar",-0.01
"165",1980,"feb.mar",0.689
"166",1981,"feb.mar",0.456
"167",1982,"feb.mar",0.103
"168",1983,"feb.mar",3.012
"169",1984,"feb.mar",0.139
"170",1985,"feb.mar",-0.709
"171",1986,"feb.mar",0.028
"172",1987,"feb.mar",1.722
"173",1988,"feb.mar",0.491
"174",1989,"feb.mar",-1.054
"175",1990,"feb.mar",0.956
"176",1991,"feb.mar",0.402
"177",1992,"feb.mar",1.991
"178",1993,"feb.mar",0.99
"179",1994,"feb.mar",0.157
"180",1995,"feb.mar",0.853
"181",1996,"feb.mar",-0.238
"182",1997,"feb.mar",-0.252
"183",1998,"feb.mar",2.755
"184",1999,"feb.mar",-0.971
"185",2000,"feb.mar",-1.113
"186",2001,"feb.mar",-0.56
"187",2002,"feb.mar",-0.121
"188",2003,"feb.mar",0.833
"189",2004,"feb.mar",-0.035
"190",2005,"feb.mar",1.067
"191",2006,"feb.mar",-0.527
"192",2007,"feb.mar",0.12
"193",2008,"feb.mar",-1.579
"194",2009,"feb.mar",-0.723
"195",2010,"feb.mar",1.469
"196",2011,"feb.mar",-1.575
"197",2012,"feb.mar",-0.398
"198",2013,"feb.mar",-0.037
"199",2014,"feb.mar",0.027
"200",2015,"feb.mar",0.631
"201",2016,"feb.mar",1.984
"202",1950,"mar.apr",-1.098
"203",1951,"mar.apr",-0.544
"204",1952,"mar.apr",0.198
"205",1953,"mar.apr",0.668
"206",1954,"mar.apr",-0.634
"207",1955,"mar.apr",-1.662
"208",1956,"mar.apr",-1.248
"209",1957,"mar.apr",0.372
"210",1958,"mar.apr",0.987
"211",1959,"mar.apr",0.192
"212",1960,"mar.apr",-0.005
"213",1961,"mar.apr",0.004
"214",1962,"mar.apr",-1.068
"215",1963,"mar.apr",-0.768
"216",1964,"mar.apr",-0.562
"217",1965,"mar.apr",0.063
"218",1966,"mar.apr",0.506
"219",1967,"mar.apr",-1.037
"220",1968,"mar.apr",-0.959
"221",1969,"mar.apr",0.616
"222",1970,"mar.apr",0
"223",1971,"mar.apr",-1.87
"224",1972,"mar.apr",-0.171
"225",1973,"mar.apr",0.473
"226",1974,"mar.apr",-1.643
"227",1975,"mar.apr",-0.959
"228",1976,"mar.apr",-1.18
"229",1977,"mar.apr",0.545
"230",1978,"mar.apr",0.191
"231",1979,"mar.apr",0.292
"232",1980,"mar.apr",0.927
"233",1981,"mar.apr",0.671
"234",1982,"mar.apr",0.013
"235",1983,"mar.apr",2.808
"236",1984,"mar.apr",0.373
"237",1985,"mar.apr",-0.472
"238",1986,"mar.apr",-0.099
"239",1987,"mar.apr",1.859
"240",1988,"mar.apr",0.387
"241",1989,"mar.apr",-0.763
"242",1990,"mar.apr",0.469
"243",1991,"mar.apr",0.454
"244",1992,"mar.apr",2.258
"245",1993,"mar.apr",1.417
"246",1994,"mar.apr",0.473
"247",1995,"mar.apr",0.469
"248",1996,"mar.apr",-0.386
"249",1997,"mar.apr",0.543
"250",1998,"mar.apr",2.661
"251",1999,"mar.apr",-0.903
"252",2000,"mar.apr",-0.409
"253",2001,"mar.apr",-0.055
"254",2002,"mar.apr",0.414
"255",2003,"mar.apr",0.421
"256",2004,"mar.apr",0.374
"257",2005,"mar.apr",0.637
"258",2006,"mar.apr",-0.575
"259",2007,"mar.apr",0.02
"260",2008,"mar.apr",-0.879
"261",2009,"mar.apr",-0.105
"262",2010,"mar.apr",0.99
"263",2011,"mar.apr",-1.399
