"yr","MEI.mean.win","MEI.mean.spr","MEI.mean.sum","MEI.mean.fal","MEI.jun.dec.mean","MEI.ann.mean","MEI.ann.max","MEI.ann.min"
1979,0.317333333333333,0.375666666666667,0.593333333333333,0.804333333333333,0.698833333333333,0.522666666666667,0.989,-0.01
1980,0.648666666666667,0.941333333333333,0.455333333333333,0.180333333333333,0.317833333333333,0.556416666666667,0.966,0.089
1981,0.0143333333333333,0.288,0.017,-0.0223333333333333,-0.00266666666666666,0.07425,0.671,-0.262
1982,-0.101333333333333,0.468333333333333,1.738,2.28766666666667,2.01283333333333,1.09816666666667,2.428,-0.27
1983,2.86833333333333,2.53366666666667,1.146,-0.094,0.526,1.6135,3.012,-0.188
1984,-0.24,0.179666666666667,-0.114666666666667,-0.318,-0.216333333333333,-0.12325,0.373,-0.603
1985,-0.621666666666667,-0.442333333333333,-0.345333333333333,-0.163666666666667,-0.2545,-0.39325,-0.059,-0.715
1986,-0.156,0.185666666666667,0.748666666666667,1.014,0.881333333333333,0.448083333333333,1.19,-0.301
1987,1.39233333333333,1.98933333333333,1.91733333333333,1.4,1.65866666666667,1.67475,2.134,1.205
1988,0.772,0.00899999999999999,-1.318,-1.374,-1.346,-0.47775,1.119,-1.506
1989,-1.14533333333333,-0.460333333333333,-0.422333333333333,-0.0996666666666667,-0.261,-0.531916666666667,0.115,-1.262
1990,0.585333333333333,0.551333333333333,0.209666666666667,0.340666666666667,0.275166666666667,0.42175,0.956,0.12
1991,0.343,0.758666666666667,0.935666666666667,1.17266666666667,1.05416666666667,0.8025,1.32,0.313
1992,1.868,2.04,0.695,0.623666666666667,0.659333333333333,1.30666666666667,2.258,0.497
1993,0.883666666666667,1.69033333333333,1.068,0.830666666666667,0.949333333333333,1.11816666666667,2.019,0.589
1994,0.230666666666667,0.625666666666667,0.853666666666667,1.31433333333333,1.084,0.756083333333333,1.407,0.157
1995,1.00633333333333,0.525,-0.120666666666667,-0.503,-0.311833333333333,0.226916666666667,1.22,-0.554
1996,-0.476666666666667,-0.106333333333333,-0.338333333333333,-0.277,-0.307666666666667,-0.299583333333333,0.111,-0.612
1997,-0.454333333333333,1.32333333333333,2.963,2.426,2.6945,1.5645,3.044,-0.621
1998,2.66066666666667,2.08466666666667,-0.194666666666667,-0.935333333333333,-0.565,0.903833333333333,2.761,-1.086
1999,-1.05466666666667,-0.604666666666667,-0.735,-1.06133333333333,-0.898166666666667,-0.863916666666667,-0.31,-1.161
2000,-1.154,-0.044,-0.185333333333333,-0.555666666666667,-0.3705,-0.48475,0.257,-1.21
2001,-0.575333333333333,0.101333333333333,0.147666666666667,-0.136333333333333,0.00566666666666667,-0.115666666666667,0.338,-0.661
2002,-0.0943333333333333,0.75,0.87,1.07833333333333,0.974166666666667,0.651,1.145,-0.171
2003,0.995333333333333,0.255333333333333,0.312333333333333,0.479,0.395666666666667,0.5105,1.218,0.131
2004,0.217,0.420333333333333,0.58,0.66,0.62,0.469333333333333,0.805,-0.035
2005,0.732333333333333,0.714,0.385666666666667,-0.376333333333333,0.00466666666666667,0.363916666666667,1.067,-0.57
2006,-0.463,0.00466666666666669,0.757666666666667,1.064,0.910833333333333,0.340833333333333,1.286,-0.575
2007,0.544333333333333,0.0793333333333333,-0.636666666666667,-1.19166666666667,-0.914166666666667,-0.301166666666667,0.985,-1.217
2008,-1.329,-0.354666666666667,-0.254333333333333,-0.650666666666667,-0.4525,-0.647166666666667,0.164,-1.579
2009,-0.718666666666667,0.334,0.945666666666667,1.025,0.985333333333333,0.3965,1.121,-0.726
2010,1.352,0.482333333333333,-1.569,-1.65533333333333,-1.61216666666667,-0.3475,1.52,-1.899
2011,-1.62566666666667,-0.528333333333333,-0.505333333333333,-0.946333333333333,-0.725833333333333,-0.901416666666667,0.016,-1.739
2012,-0.695333333333333,0.582333333333333,0.685333333333333,0.1,0.392666666666667,0.168083333333333,1.098,-0.993
2013,-0.007,0.0733333333333333,-0.322666666666667,-0.057,-0.189833333333333,-0.0783333333333333,0.203,-0.48
2014,-0.171333333333333,0.793,0.807,0.586333333333333,0.696666666666667,0.50375,1.057,-0.275
2015,0.503333333333333,1.54533333333333,2.28133333333333,2.21666666666667,2.249,1.63666666666667,2.53,0.42
2016,2.12666666666667,1.65433333333333,0.128666666666667,-0.237333333333333,-0.0543333333333333,0.918083333333333,2.227,-0.379
