"yr","mo.char","NAO"
1851,"Feb",1.03
1852,"Feb",0.41
1853,"Feb",-4.04
1854,"Feb",1.72
1855,"Feb",-3.8
1856,"Feb",-0.1
1857,"Feb",2.02
1858,"Feb",-0.54
1859,"Feb",2.37
1860,"Feb",0.32
1861,"Feb",0.8
1862,"Feb",-1.26
1863,"Feb",3.1
1864,"Feb",-0.27
1865,"Feb",-0.42
1866,"Feb",0.7
1867,"Feb",3.63
1868,"Feb",3.95
1869,"Feb",3.9
1870,"Feb",-1.98
1871,"Feb",1.71
1872,"Feb",0.45
1873,"Feb",0.18
1874,"Feb",2.07
1875,"Feb",-1.47
1876,"Feb",0.75
1877,"Feb",1.96
1878,"Feb",2.2
1879,"Feb",0.85
1880,"Feb",1.92
1881,"Feb",-1.62
1882,"Feb",3.2
1883,"Feb",4.25
1884,"Feb",1.48
1885,"Feb",0.09
1886,"Feb",-0.39
1887,"Feb",2.03
1888,"Feb",-2.25
1889,"Feb",-0.2
1890,"Feb",-1.37
1891,"Feb",2.81
1892,"Feb",-2.21
1893,"Feb",2.54
1894,"Feb",3.95
1895,"Feb",-4.14
1896,"Feb",2.33
1897,"Feb",3.32
1898,"Feb",1.9
1899,"Feb",-0.17
1900,"Feb",-2.36
1901,"Feb",-2.58
1902,"Feb",-1.4
1903,"Feb",4.86
1904,"Feb",1.21
1905,"Feb",2.09
1906,"Feb",1.26
1907,"Feb",1.22
1908,"Feb",1.98
1909,"Feb",-0.54
1910,"Feb",3.85
1911,"Feb",2.05
1912,"Feb",-0.17
1913,"Feb",1.19
1914,"Feb",2.45
1915,"Feb",1.82
1916,"Feb",2.03
1917,"Feb",-1.59
1918,"Feb",3.87
1919,"Feb",-0.49
1920,"Feb",1.39
1921,"Feb",0.07
1922,"Feb",2.97
1923,"Feb",2.77
1924,"Feb",-1.62
1925,"Feb",1.95
1926,"Feb",1.84
1927,"Feb",1.09
1928,"Feb",3.52
1929,"Feb",0.27
1930,"Feb",-0.6
1931,"Feb",1.29
1932,"Feb",-3.31
1933,"Feb",-1.81
1934,"Feb",0.49
1935,"Feb",2.7
1936,"Feb",-2.44
1937,"Feb",1.73
1938,"Feb",0.6
1939,"Feb",2.91
1940,"Feb",-0.93
1941,"Feb",-0.42
1942,"Feb",-3.1
1943,"Feb",2.78
1944,"Feb",-1.59
1945,"Feb",4.67
1946,"Feb",0.99
1947,"Feb",-4.6
1948,"Feb",0.66
1949,"Feb",4.01
1950,"Feb",3.31
1951,"Feb",0.93
1952,"Feb",0.15
1953,"Feb",0.54
1954,"Feb",0.57
1955,"Feb",-2.21
1956,"Feb",-2.96
1957,"Feb",1.08
1958,"Feb",-0.03
1959,"Feb",2.46
1960,"Feb",-1
1961,"Feb",4.06
1962,"Feb",0.77
1963,"Feb",-1.9
1964,"Feb",-0.13
1965,"Feb",-3.03
1966,"Feb",-0.38
1967,"Feb",1.7
1968,"Feb",-1.53
1969,"Feb",-3.16
1970,"Feb",1.1
1971,"Feb",1.21
1972,"Feb",-0.2
1973,"Feb",1.22
1974,"Feb",0.68
1975,"Feb",0.4
1976,"Feb",1.29
1977,"Feb",0.28
1978,"Feb",-1.99
1979,"Feb",-0.62
1980,"Feb",0.7
1981,"Feb",1.04
1982,"Feb",2.25
1983,"Feb",-1.25
1984,"Feb",1.73
1985,"Feb",-0.24
1986,"Feb",-4.02
1987,"Feb",-0.24
1988,"Feb",-0.11
1989,"Feb",3.61
1990,"Feb",5.11
1991,"Feb",-0.02
1992,"Feb",3.18
1993,"Feb",0.11
1994,"Feb",0.07
1995,"Feb",3.13
1996,"Feb",-0.12
1997,"Feb",5.26
1998,"Feb",2.44
1999,"Feb",1.8
2000,"Feb",4.37
2001,"Feb",0.07
2002,"Feb",3.01
2003,"Feb",1.34
2004,"Feb",-1.23
2005,"Feb",-2.25
2006,"Feb",-1.24
2007,"Feb",0.42
2008,"Feb",1.79
2009,"Feb",-1.43
2010,"Feb",-3.92
2011,"Feb",2.79
2012,"Feb",1.28
2013,"Feb",-0.26
2014,"Feb",2.32
2015,"Feb",1.47
2016,"Feb",1.61
2017,"Feb",1.38
1821,"Mar",NA
1822,"Mar",2.99
1823,"Mar",NA
1824,"Mar",-1.44
1825,"Mar",0.33
1826,"Mar",-0.97
1827,"Mar",1.83
1828,"Mar",-0.18
1829,"Mar",-2.54
1830,"Mar",3.58
1831,"Mar",1.48
1832,"Mar",2.12
1833,"Mar",-2.89
1834,"Mar",1.37
1835,"Mar",1.54
1836,"Mar",2.28
1837,"Mar",-3.08
1838,"Mar",1.23
1839,"Mar",0.79
1840,"Mar",-3.05
1841,"Mar",2.41
1842,"Mar",3.43
1843,"Mar",-1.29
1844,"Mar",1.09
1845,"Mar",-0.54
1846,"Mar",1.75
1847,"Mar",-1.59
1848,"Mar",0.76
1849,"Mar",-0.56
1850,"Mar",-2.22
1851,"Mar",1.5
1852,"Mar",-2.5
1853,"Mar",-0.32
1854,"Mar",2.67
1855,"Mar",-0.05
1856,"Mar",-2.27
1857,"Mar",1.09
1858,"Mar",-1.24
1859,"Mar",1.5
1860,"Mar",1.08
1861,"Mar",2.06
1862,"Mar",-2.25
1863,"Mar",1.88
1864,"Mar",-1.78
1865,"Mar",-1.03
1866,"Mar",-2.1
1867,"Mar",-3.03
1868,"Mar",2.94
1869,"Mar",-1.91
1870,"Mar",-2.07
1871,"Mar",1.15
1872,"Mar",-1.2
1873,"Mar",-0.39
1874,"Mar",1.47
1875,"Mar",-0.61
1876,"Mar",-0.29
1877,"Mar",-0.45
1878,"Mar",-0.01
1879,"Mar",-0.08
1880,"Mar",0.06
1881,"Mar",-0.51
1882,"Mar",3.61
1883,"Mar",-3.04
1884,"Mar",0.19
1885,"Mar",-1.06
1886,"Mar",0.56
1887,"Mar",-0.85
1888,"Mar",-1.5
1889,"Mar",0.11
1890,"Mar",0.5
1891,"Mar",-1.17
1892,"Mar",-1.53
1893,"Mar",-0.04
1894,"Mar",1.12
1895,"Mar",-0.27
1896,"Mar",1.39
1897,"Mar",2.31
1898,"Mar",-2.33
1899,"Mar",-1.5
1900,"Mar",-3.12
1901,"Mar",-0.91
1902,"Mar",0.5
1903,"Mar",4.05
1904,"Mar",-0.7
1905,"Mar",2.23
1906,"Mar",-0.25
1907,"Mar",2.41
1908,"Mar",0.74
1909,"Mar",-2.09
1910,"Mar",0.55
1911,"Mar",-1.4
1912,"Mar",2.22
1913,"Mar",2.73
1914,"Mar",1.72
1915,"Mar",-1.91
1916,"Mar",-3.84
1917,"Mar",-0.21
1918,"Mar",0.37
1919,"Mar",-0.25
1920,"Mar",3.08
1921,"Mar",2.68
1922,"Mar",-0.23
1923,"Mar",-0.1
1924,"Mar",-1.88
1925,"Mar",-2
1926,"Mar",0.56
1927,"Mar",2.58
1928,"Mar",-0.94
1929,"Mar",-0.48
1930,"Mar",-0.7
1931,"Mar",-2.18
1932,"Mar",-1.57
1933,"Mar",1.26
1934,"Mar",0.3
1935,"Mar",0.39
1936,"Mar",-1.09
1937,"Mar",-2.02
1938,"Mar",3.13
1939,"Mar",-0.03
1940,"Mar",-0.72
1941,"Mar",-1.29
1942,"Mar",-0.92
1943,"Mar",0.03
1944,"Mar",-0.82
1945,"Mar",2.51
1946,"Mar",-0.39
1947,"Mar",-1.28
1948,"Mar",3.48
1949,"Mar",-0.96
1950,"Mar",0.82
1951,"Mar",-2.01
1952,"Mar",-1.14
1953,"Mar",1.25
1954,"Mar",-0.29
1955,"Mar",-2.9
1956,"Mar",0.01
1957,"Mar",0.42
1958,"Mar",-1.28
1959,"Mar",1.82
1960,"Mar",-0.87
1961,"Mar",2.08
1962,"Mar",-3.78
1963,"Mar",2.79
1964,"Mar",-0.77
1965,"Mar",0.23
1966,"Mar",1.05
1967,"Mar",3
1968,"Mar",0.34
1969,"Mar",-1.81
1970,"Mar",-1.78
1971,"Mar",-1.76
1972,"Mar",0.26
1973,"Mar",1.04
1974,"Mar",-0.81
1975,"Mar",-1.26
1976,"Mar",1.87
1977,"Mar",1.33
1978,"Mar",3.1
1979,"Mar",0.54
1980,"Mar",-0.68
1981,"Mar",0.01
1982,"Mar",1.66
1983,"Mar",1.79
1984,"Mar",-2.12
1985,"Mar",0.07
1986,"Mar",2.86
1987,"Mar",0.29
1988,"Mar",0.78
1989,"Mar",2.45
1990,"Mar",3.11
1991,"Mar",-1.37
1992,"Mar",1.66
1993,"Mar",1.47
1994,"Mar",3.68
1995,"Mar",1.06
1996,"Mar",-2.57
1997,"Mar",2.09
1998,"Mar",1.24
1999,"Mar",-0.72
2000,"Mar",0.54
2001,"Mar",-0.68
2002,"Mar",0.09
2003,"Mar",1.08
2004,"Mar",1.07
2005,"Mar",-1.29
2006,"Mar",-1.12
2007,"Mar",2.03
2008,"Mar",0.37
2009,"Mar",0.15
2010,"Mar",-0.8
2011,"Mar",-0.17
2012,"Mar",1.78
2013,"Mar",-3.75
2014,"Mar",1.64
2015,"Mar",1.99
2016,"Mar",0.33
2017,"Mar",1.05
1821,"Apr",NA
1822,"Apr",-3.19
1823,"Apr",NA
1824,"Apr",1.46
