"yr","mo.char","NAO"
1986,"Jun",-1.29
1987,"Jun",-0.58
1988,"Jun",-2.75
1989,"Jun",-0.53
1990,"Jun",0.42
1991,"Jun",-0.31
1992,"Jun",-1.74
1993,"Jun",0.16
1994,"Jun",2.98
1995,"Jun",-3.36
1996,"Jun",1.43
1997,"Jun",-4.05
1998,"Jun",-0.85
1999,"Jun",1.39
2000,"Jun",0.89
2001,"Jun",-1.33
2002,"Jun",0.9
2003,"Jun",-0.86
2004,"Jun",-0.38
2005,"Jun",-1
2006,"Jun",-0.41
2007,"Jun",-3.34
2008,"Jun",-1.62
2009,"Jun",-3.05
2010,"Jun",-3.65
2011,"Jun",-1.58
2012,"Jun",-2.58
2013,"Jun",1.4
2014,"Jun",-1.98
2015,"Jun",0.28
2016,"Jun",-1.27
2017,"Jun",NA
1821,"Jul",-2.62
1822,"Jul",-4.05
1823,"Jul",0.58
1824,"Jul",-2.75
1825,"Jul",-0.92
1826,"Jul",1.89
1827,"Jul",2.02
1828,"Jul",-4.4
1829,"Jul",0.33
1830,"Jul",3.19
1831,"Jul",2.71
1832,"Jul",-2.57
1833,"Jul",0.13
1834,"Jul",-0.73
1835,"Jul",0.57
1836,"Jul",4.33
1837,"Jul",-2.4
1838,"Jul",0.11
1839,"Jul",1.14
1840,"Jul",1.23
1841,"Jul",-0.62
1842,"Jul",-4.05
1843,"Jul",3.26
1844,"Jul",0.36
1845,"Jul",-0.16
1846,"Jul",2.84
1847,"Jul",0.75
1848,"Jul",1.87
1849,"Jul",1.2
1850,"Jul",0.31
1851,"Jul",-5.39
1852,"Jul",-1.13
1853,"Jul",1.76
1854,"Jul",-1.92
1855,"Jul",-2.61
1856,"Jul",-0.16
1857,"Jul",5.36
1858,"Jul",-1.58
1859,"Jul",2.24
1860,"Jul",-2.27
1861,"Jul",0.73
1862,"Jul",-2.08
1863,"Jul",-0.43
1864,"Jul",0.5
1865,"Jul",-0.07
1866,"Jul",0.29
1867,"Jul",-1.77
1868,"Jul",1.21
1869,"Jul",0.29
1870,"Jul",-0.36
1871,"Jul",1.75
1872,"Jul",-3.61
1873,"Jul",-0.12
1874,"Jul",0.18
1875,"Jul",-1.44
1876,"Jul",3.48
1877,"Jul",1.18
1878,"Jul",-1.93
1879,"Jul",-1.57
1880,"Jul",-1.9
1881,"Jul",2.1
1882,"Jul",1.6
1883,"Jul",-2.25
1884,"Jul",-0.8
1885,"Jul",3.07
1886,"Jul",-1.59
1887,"Jul",0.58
1888,"Jul",0
1889,"Jul",-1.03
1890,"Jul",0.3
1891,"Jul",-0.54
1892,"Jul",0.18
1893,"Jul",-1.5
1894,"Jul",1.18
1895,"Jul",1.21
1896,"Jul",1.23
1897,"Jul",-0.05
1898,"Jul",-1.53
1899,"Jul",2.46
1900,"Jul",-0.21
1901,"Jul",-1.83
1902,"Jul",-1.24
1903,"Jul",0.43
1904,"Jul",-0.04
1905,"Jul",-0.05
1906,"Jul",1.29
1907,"Jul",-0.55
1908,"Jul",0.09
1909,"Jul",2.59
1910,"Jul",-1.64
1911,"Jul",0.54
1912,"Jul",-1.42
1913,"Jul",-0.99
1914,"Jul",-1.11
1915,"Jul",-1.19
1916,"Jul",-0.69
1917,"Jul",-0.21
1918,"Jul",-1.97
1919,"Jul",-1.33
1920,"Jul",1.87
1921,"Jul",-0.41
1922,"Jul",1.79
1923,"Jul",1.59
1924,"Jul",0.65
1925,"Jul",1.37
1926,"Jul",-0.69
1927,"Jul",-0.16
1928,"Jul",2.21
1929,"Jul",0.26
1930,"Jul",-1.3
1931,"Jul",-0.13
1932,"Jul",-0.8
1933,"Jul",2.62
1934,"Jul",-1.17
1935,"Jul",2.03
1936,"Jul",1.34
1937,"Jul",0.19
1938,"Jul",1.6
1939,"Jul",-0.44
1940,"Jul",-1.21
1941,"Jul",1.08
1942,"Jul",0.15
1943,"Jul",0.05
1944,"Jul",-2.16
1945,"Jul",-0.4
1946,"Jul",2.66
1947,"Jul",0.19
1948,"Jul",0.59
1949,"Jul",-0.93
1950,"Jul",-0.87
1951,"Jul",1.1
1952,"Jul",-0.79
1953,"Jul",0.13
1954,"Jul",0.88
1955,"Jul",-1.32
1956,"Jul",0.35
1957,"Jul",-0.48
1958,"Jul",-0.2
1959,"Jul",0.29
1960,"Jul",0.18
1961,"Jul",0.63
1962,"Jul",-2.1
1963,"Jul",-0.65
1964,"Jul",2.44
1965,"Jul",-1.71
1966,"Jul",-1.99
1967,"Jul",1.44
1968,"Jul",-1.96
1969,"Jul",3.7
1970,"Jul",0.27
1971,"Jul",-1.04
1972,"Jul",0.41
1973,"Jul",-1.85
1974,"Jul",2.07
1975,"Jul",0.63
1976,"Jul",-0.57
1977,"Jul",-1.14
1978,"Jul",-0.33
1979,"Jul",2.53
1980,"Jul",-0.91
1981,"Jul",1.74
1982,"Jul",-0.65
1983,"Jul",-0.75
1984,"Jul",0.93
1985,"Jul",1.09
1986,"Jul",0.88
1987,"Jul",-1.25
1988,"Jul",1.46
1989,"Jul",0.58
1990,"Jul",1.43
1991,"Jul",-0.28
1992,"Jul",1.04
1993,"Jul",0.64
1994,"Jul",-0.09
1995,"Jul",-0.96
1996,"Jul",1.47
1997,"Jul",1.18
1998,"Jul",-0.57
1999,"Jul",-1.85
2000,"Jul",-2.99
2001,"Jul",-1.12
2002,"Jul",-0.71
2003,"Jul",0.09
2004,"Jul",-0.3
2005,"Jul",-0.08
2006,"Jul",0.83
2007,"Jul",-1.05
2008,"Jul",-1.13
2009,"Jul",-0.92
2010,"Jul",0.06
2011,"Jul",-3.39
2012,"Jul",-1.31
2013,"Jul",2.52
2014,"Jul",0.91
2015,"Jul",-2.16
2016,"Jul",2.19
2017,"Jul",NA
1821,"Aug",-0.14
1822,"Aug",-0.19
1823,"Aug",2.9
1824,"Aug",-0.08
1825,"Aug",1.43
1826,"Aug",2.72
1827,"Aug",-3.56
1828,"Aug",-2.54
1829,"Aug",0.77
1830,"Aug",-0.35
1831,"Aug",-3.04
1832,"Aug",0.92
1833,"Aug",-1.74
1834,"Aug",-0.86
1835,"Aug",2.35
1836,"Aug",2.8
1837,"Aug",0.01
1838,"Aug",1.16
1839,"Aug",0.04
1840,"Aug",0.05
1841,"Aug",2.39
1842,"Aug",1.03
1843,"Aug",3.99
1844,"Aug",-1
1845,"Aug",-0.29
1846,"Aug",-0.3
1847,"Aug",1.13
1848,"Aug",2.64
1849,"Aug",0.7
1850,"Aug",0.15
1851,"Aug",4.68
1852,"Aug",2.94
1853,"Aug",-2.36
1854,"Aug",-0.03
1855,"Aug",3.81
1856,"Aug",-0.44
1857,"Aug",1.02
1858,"Aug",0.06
1859,"Aug",1.82
1860,"Aug",-0.16
1861,"Aug",2.91
1862,"Aug",-1.43
1863,"Aug",0.1
1864,"Aug",-0.21
1865,"Aug",-0.22
1866,"Aug",0.77
1867,"Aug",3.1
1868,"Aug",3.02
1869,"Aug",1.15
1870,"Aug",-3.41
1871,"Aug",4.19
1872,"Aug",-1.43
1873,"Aug",3.44
1874,"Aug",0.82
1875,"Aug",1.71
1876,"Aug",1.02
1877,"Aug",-1.83
1878,"Aug",-2.46
1879,"Aug",-0.29
1880,"Aug",-0.43
1881,"Aug",0.42
1882,"Aug",2.05
1883,"Aug",3
1884,"Aug",2.16
1885,"Aug",-1.03
1886,"Aug",2.43
1887,"Aug",-1.19
1888,"Aug",4
1889,"Aug",3.78
1890,"Aug",0.99
1891,"Aug",2.22
1892,"Aug",1.16
1893,"Aug",0.48
1894,"Aug",0.91
1895,"Aug",1.72
1896,"Aug",-1.02
1897,"Aug",2.49
1898,"Aug",3.56
1899,"Aug",-1.13
1900,"Aug",-0.06
1901,"Aug",1.14
1902,"Aug",-0.18
1903,"Aug",3.67
1904,"Aug",0.61
1905,"Aug",0.97
1906,"Aug",0.38
1907,"Aug",2.22
1908,"Aug",0.6
1909,"Aug",2.35
1910,"Aug",0.31
1911,"Aug",0.13
1912,"Aug",0.07
1913,"Aug",0.65
1914,"Aug",0.97
1915,"Aug",-1.29
1916,"Aug",-0.57
1917,"Aug",-0.39
1918,"Aug",1.76
1919,"Aug",4.03
1920,"Aug",-1.22
1921,"Aug",-0.65
1922,"Aug",0.09
1923,"Aug",0.73
1924,"Aug",0.55
1925,"Aug",1.43
1926,"Aug",2.06
1927,"Aug",1.6
1928,"Aug",-1.8
1929,"Aug",-0.07
1930,"Aug",1.81
1931,"Aug",-1.8
1932,"Aug",2.18
1933,"Aug",2.65
1934,"Aug",1.51
1935,"Aug",-0.55
1936,"Aug",2.67
1937,"Aug",0.28
1938,"Aug",-0.37
1939,"Aug",0.8
1940,"Aug",0.3
1941,"Aug",-0.6
1942,"Aug",0.08
1943,"Aug",-0.18
1944,"Aug",0.15
1945,"Aug",-1.83
1946,"Aug",0.62
1947,"Aug",-1.08
1948,"Aug",0.34
1949,"Aug",1.38
1950,"Aug",-0.28
1951,"Aug",0.85
1952,"Aug",-1.05
1953,"Aug",3.26
1954,"Aug",-0.59
1955,"Aug",0.54
1956,"Aug",-3.15
1957,"Aug",0.7
1958,"Aug",0.98
1959,"Aug",0.02
1960,"Aug",-1.84
1961,"Aug",3.38
1962,"Aug",2.28
1963,"Aug",-0.96
1964,"Aug",-2.46
1965,"Aug",1.59
1966,"Aug",-2.03
1967,"Aug",-0.41
1968,"Aug",-1.45
1969,"Aug",-1.62
1970,"Aug",-0.2
1971,"Aug",0.07
1972,"Aug",0.11
1973,"Aug",2.32
1974,"Aug",0.89
1975,"Aug",0.08
1976,"Aug",0.62
1977,"Aug",-1.42
1978,"Aug",0.05
1979,"Aug",-0.85
1980,"Aug",0.3
1981,"Aug",1.01
1982,"Aug",1.45
1983,"Aug",0.56
1984,"Aug",1
1985,"Aug",2.33
1986,"Aug",-2.21
1987,"Aug",-2.99
1988,"Aug",0.73
1989,"Aug",1.76
1990,"Aug",3.31
1991,"Aug",2.71
1992,"Aug",3.97
1993,"Aug",0.75
1994,"Aug",-1.59
1995,"Aug",-1.33
1996,"Aug",-0.19
1997,"Aug",1.78
1998,"Aug",1.8
1999,"Aug",-3.67
2000,"Aug",0.78
2001,"Aug",1.64
2002,"Aug",-0.61
2003,"Aug",-0.99
2004,"Aug",-0.76
2005,"Aug",0.94
2006,"Aug",-2.47
2007,"Aug",-3.41
2008,"Aug",-0.21
2009,"Aug",1.07
2010,"Aug",-2.01
2011,"Aug",-2.41
2012,"Aug",-0.44
2013,"Aug",2.16
2014,"Aug",-1.14
2015,"Aug",1.47
2016,"Aug",2.14
2017,"Aug",NA
1821,"Sep",NA
1822,"Sep",-1.09
1823,"Sep",0.67
1824,"Sep",0.19
1825,"Sep",-0.95
1826,"Sep",-0.76
1827,"Sep",-0.07
1828,"Sep",-2.78
1829,"Sep",0.78
1830,"Sep",2.04
1831,"Sep",-1.53
1832,"Sep",1.45
1833,"Sep",-0.93
1834,"Sep",-0.62
1835,"Sep",0.29
1836,"Sep",-1.59
1837,"Sep",0.17
1838,"Sep",1.46
1839,"Sep",1.09
1840,"Sep",0.46
1841,"Sep",-2.76
1842,"Sep",-3.8
1843,"Sep",-0.58
1844,"Sep",-1.53
1845,"Sep",-0.23
1846,"Sep",-1.18
1847,"Sep",-0.32
1848,"Sep",-2.55
1849,"Sep",-2.23
1850,"Sep",-2.08
1851,"Sep",1.85
1852,"Sep",-2.02
1853,"Sep",-0.22
1854,"Sep",2.62
1855,"Sep",0.79
1856,"Sep",-0.5
1857,"Sep",1.21
1858,"Sep",2.33
1859,"Sep",0.11
1860,"Sep",-0.92
1861,"Sep",-0.85
1862,"Sep",-1.5
1863,"Sep",2.46
1864,"Sep",1.12
1865,"Sep",3.24
1866,"Sep",1.52
1867,"Sep",1.13
1868,"Sep",-2.65
1869,"Sep",0.62
1870,"Sep",1.71
1871,"Sep",-1.93
1872,"Sep",-2.53
1873,"Sep",-0.57
1874,"Sep",0.74
1875,"Sep",-0.01
1876,"Sep",-2.62
1877,"Sep",-3.74
1878,"Sep",-0.95
1879,"Sep",1.9
1880,"Sep",0.92
1881,"Sep",-0.25
1882,"Sep",0.4
1883,"Sep",0.47
1884,"Sep",1.6
1885,"Sep",1.4
1886,"Sep",-0.34
1887,"Sep",-2.56
1888,"Sep",-0.42
1889,"Sep",-1.98
1890,"Sep",2.5
1891,"Sep",2.29
1892,"Sep",1.61
1893,"Sep",-0.97
1894,"Sep",-2.19
1895,"Sep",1.15
1896,"Sep",0.6
1897,"Sep",1.4
1898,"Sep",-0.17
1899,"Sep",-0.08
1900,"Sep",0.98
1901,"Sep",-0.09
1902,"Sep",-1.51
1903,"Sep",0.22
1904,"Sep",-0.43
1905,"Sep",-0.19
1906,"Sep",-1.33
1907,"Sep",0.24
1908,"Sep",0.98
1909,"Sep",-1.29
1910,"Sep",-1.15
1911,"Sep",1.53
1912,"Sep",-2.51
1913,"Sep",-2.7
1914,"Sep",0.43
1915,"Sep",-1.94
1916,"Sep",-2.59
1917,"Sep",2.47
1918,"Sep",-0.17
1919,"Sep",-1.27
1920,"Sep",0.41
1921,"Sep",-1.43
1922,"Sep",-0.43
1923,"Sep",2.64
1924,"Sep",0.71
1925,"Sep",-0.66
1926,"Sep",0.92
1927,"Sep",-1.77
1928,"Sep",-1.93
1929,"Sep",0.25
1930,"Sep",-2.07
1931,"Sep",-2.73
1932,"Sep",-0.93
1933,"Sep",-2.03
1934,"Sep",2.5
1935,"Sep",0.55
1936,"Sep",-0.81
1937,"Sep",-0.17
1938,"Sep",-0.29
1939,"Sep",-3.9
1940,"Sep",-1.1
1941,"Sep",-0.97
1942,"Sep",-0.25
1943,"Sep",-0.65
1944,"Sep",0.36
1945,"Sep",1.4
1946,"Sep",1.98
1947,"Sep",1.18
1948,"Sep",0.82
1949,"Sep",-1.81
1950,"Sep",1.51
1951,"Sep",-0.22
1952,"Sep",-3.02
1953,"Sep",0.75
1954,"Sep",2.49
1955,"Sep",0.82
1956,"Sep",-0.51
1957,"Sep",-1.56
1958,"Sep",-0.23
1959,"Sep",-1.81
1960,"Sep",0.24
1961,"Sep",2.01
1962,"Sep",0.02
1963,"Sep",0.94
1964,"Sep",0.5
1965,"Sep",-1.01
1966,"Sep",-0.47
1967,"Sep",0.32
1968,"Sep",0.5
1969,"Sep",0.38
1970,"Sep",0.47
1971,"Sep",-0.54
1972,"Sep",-4.11
1973,"Sep",-0.79
1974,"Sep",0.11
1975,"Sep",1.75
1976,"Sep",-3.46
1977,"Sep",1.64
1978,"Sep",1.96
1979,"Sep",1.12
1980,"Sep",1.72
1981,"Sep",0.27
1982,"Sep",1.08
1983,"Sep",-0.65
1984,"Sep",-1.31
1985,"Sep",0
1986,"Sep",-1.34
1987,"Sep",1.27
1988,"Sep",0.8
1989,"Sep",-0.96
1990,"Sep",-0.99
1991,"Sep",-1.12
1992,"Sep",0.99
1993,"Sep",-2.6
1994,"Sep",-2.85
1995,"Sep",-1.55
1996,"Sep",-2.23
1997,"Sep",-0.67
1998,"Sep",-3.48
1999,"Sep",-0.51
2000,"Sep",-1.1
2001,"Sep",-3.83
2002,"Sep",-3.58
2003,"Sep",0.35
2004,"Sep",2.51
2005,"Sep",0.5
2006,"Sep",-1.02
2007,"Sep",-1.18
2008,"Sep",-2.07
2009,"Sep",-0.63
2010,"Sep",-2.38
2011,"Sep",2.97
2012,"Sep",-1.44
2013,"Sep",-0.57
2014,"Sep",-2.1
2015,"Sep",-1.65
2016,"Sep",2.45
2017,"Sep",NA
1821,"Oct",NA
1822,"Oct",-2
1823,"Oct",-1.39
1824,"Oct",NA
1825,"Oct",1.98
1826,"Oct",0.18
1827,"Oct",-3.02
1828,"Oct",0.1
1829,"Oct",0.71
1830,"Oct",2.04
1831,"Oct",0.85
1832,"Oct",2.25
1833,"Oct",-1.75
1834,"Oct",0.3
1835,"Oct",-0.3
1836,"Oct",-1.17
1837,"Oct",2.52
1838,"Oct",0.59
1839,"Oct",-1.27
1840,"Oct",-2.5
1841,"Oct",-2.13
1842,"Oct",-3.73
1843,"Oct",-1.9
1844,"Oct",-0.99
1845,"Oct",1.14
1846,"Oct",0.01
1847,"Oct",0.44
1848,"Oct",-2.44
1849,"Oct",-0.08
1850,"Oct",-2.7
1851,"Oct",0.78
1852,"Oct",-1.65
1853,"Oct",-0.47
1854,"Oct",1.11
1855,"Oct",-1.09
1856,"Oct",1.12
1857,"Oct",-0.2
1858,"Oct",-1.86
1859,"Oct",-2.61
1860,"Oct",2.28
1861,"Oct",-0.8
1862,"Oct",1.75
1863,"Oct",-0.59
1864,"Oct",-6.05
1865,"Oct",-2.66
1866,"Oct",-0.03
1867,"Oct",0.73
1868,"Oct",1.87
1869,"Oct",-0.79
1870,"Oct",1.3
1871,"Oct",-0.89
1872,"Oct",-0.91
1873,"Oct",-0.81
1874,"Oct",0.86
1875,"Oct",-0.75
1876,"Oct",-2.19
1877,"Oct",1.25
1878,"Oct",-1.44
1879,"Oct",-1.88
1880,"Oct",-3.2
1881,"Oct",-2.04
1882,"Oct",0.65
1883,"Oct",1.68
1884,"Oct",0.27
1885,"Oct",-0.84
1886,"Oct",-0.55
1887,"Oct",-1.14
1888,"Oct",-0.89
1889,"Oct",-1.23
1890,"Oct",0.85
1891,"Oct",-0.46
1892,"Oct",-3.68
1893,"Oct",0.32
1894,"Oct",-2.24
1895,"Oct",-2.53
1896,"Oct",-2.77
1897,"Oct",-0.6
1898,"Oct",-1.15
1899,"Oct",-0.12
1900,"Oct",-0.57
1901,"Oct",-0.47
1902,"Oct",-0.12
1903,"Oct",-0.55
1904,"Oct",0.04
1905,"Oct",-3.1
1906,"Oct",0.4
1907,"Oct",-1.59
1908,"Oct",0.24
1909,"Oct",0.59
1910,"Oct",-1.56
1911,"Oct",-1.88
1912,"Oct",0.42
1913,"Oct",-1.48
1914,"Oct",-1.1
1915,"Oct",-0.99
1916,"Oct",2.2
1917,"Oct",0.94
1918,"Oct",0.56
1919,"Oct",-2.24
1920,"Oct",-1.15
1921,"Oct",-0.22
1922,"Oct",-3.95
1923,"Oct",1.34
1924,"Oct",0.5
1925,"Oct",-0.98
1926,"Oct",-4.16
1927,"Oct",-2.04
1928,"Oct",0.15
1929,"Oct",0.29
1930,"Oct",0.89
1931,"Oct",-0.11
1932,"Oct",0.05
1933,"Oct",-1.99
1934,"Oct",0.76
1935,"Oct",0.88
1936,"Oct",0.87
1937,"Oct",-2.41
1938,"Oct",1.88
1939,"Oct",-2.51
1940,"Oct",-1.89
1941,"Oct",-1.21
1942,"Oct",-0.21
1943,"Oct",0.45
1944,"Oct",-0.83
1945,"Oct",-0.22
1946,"Oct",-2.04
1947,"Oct",-0.51
1948,"Oct",0.43
1949,"Oct",1.38
1950,"Oct",0.78
1951,"Oct",-0.13
1952,"Oct",0.42
1953,"Oct",0.77
1954,"Oct",2.09
1955,"Oct",-2.35
1956,"Oct",1.23
1957,"Oct",1.07
1958,"Oct",1.65
1959,"Oct",1.51
1960,"Oct",-3.08
1961,"Oct",1
1962,"Oct",-0.34
1963,"Oct",2.79
1964,"Oct",0.63
1965,"Oct",-1.26
1966,"Oct",-2.89
1967,"Oct",1.34
1968,"Oct",0.03
1969,"Oct",0.7
1970,"Oct",0
1971,"Oct",1.63
1972,"Oct",-1.74
1973,"Oct",-1.03
1974,"Oct",-1.44
1975,"Oct",0.39
1976,"Oct",-0.64
1977,"Oct",0.45
1978,"Oct",0.02
1979,"Oct",-1.95
1980,"Oct",-0.87
1981,"Oct",-1.06
1982,"Oct",0.32
1983,"Oct",2.06
1984,"Oct",1.66
1985,"Oct",0.14
1986,"Oct",2.27
1987,"Oct",-0.8
1988,"Oct",-2.02
1989,"Oct",0.88
1990,"Oct",-0.59
1991,"Oct",-1.77
1992,"Oct",-3.33
1993,"Oct",-4.13
1994,"Oct",-1.88
1995,"Oct",1.22
1996,"Oct",-0.07
1997,"Oct",-2.26
1998,"Oct",1.34
1999,"Oct",-0.69
2000,"Oct",1.37
2001,"Oct",0.88
2002,"Oct",-1.5
2003,"Oct",-3.68
2004,"Oct",-2.18
2005,"Oct",-0.45
2006,"Oct",-1.97
2007,"Oct",-0.02
2008,"Oct",0.01
2009,"Oct",-1.53
2010,"Oct",-2.41
2011,"Oct",1.31
2012,"Oct",-3.21
2013,"Oct",-0.36
2014,"Oct",0.31
2015,"Oct",-1.13
2016,"Oct",-1.47
2017,"Oct",NA
1821,"Nov",NA
1822,"Nov",-0.05
1823,"Nov",-0.76
1824,"Nov",-0.7
1825,"Nov",1.06
1826,"Nov",-2.41
1827,"Nov",-1.42
1828,"Nov",-2.57
1829,"Nov",-0.33
1830,"Nov",2.19
1831,"Nov",0.26
1832,"Nov",0.62
1833,"Nov",1.4
1834,"Nov",-2.28
1835,"Nov",-1.31
1836,"Nov",2.04
1837,"Nov",1.34
1838,"Nov",-2.65
1839,"Nov",-2.89
1840,"Nov",0.46
1841,"Nov",1.76
1842,"Nov",-2.66
1843,"Nov",0.87
1844,"Nov",-0.02
1845,"Nov",0.49
1846,"Nov",-0.59
1847,"Nov",2.46
1848,"Nov",-0.84
1849,"Nov",0.8
1850,"Nov",2.39
1851,"Nov",-1.77
1852,"Nov",-0.93
1853,"Nov",0.51
1854,"Nov",-1.56
1855,"Nov",-2.42
1856,"Nov",-1.69
1857,"Nov",-1.68
1858,"Nov",-4.41
1859,"Nov",0.29
1860,"Nov",-3.44
1861,"Nov",-1.35
1862,"Nov",-0.49
1863,"Nov",1.62
1864,"Nov",0.01
1865,"Nov",-0.14
1866,"Nov",1.01
1867,"Nov",-1.51
1868,"Nov",-0.83
1869,"Nov",0.79
1870,"Nov",-2.04
1871,"Nov",-3.72
1872,"Nov",0.67
1873,"Nov",-2.23
1874,"Nov",-0.34
1875,"Nov",-2.8
1876,"Nov",-2.35
1877,"Nov",2.06
1878,"Nov",-3.47
1879,"Nov",-3.38
1880,"Nov",1.19
1881,"Nov",4.34
1882,"Nov",2.01
1883,"Nov",2.36
1884,"Nov",-1.16
1885,"Nov",-0.76
1886,"Nov",0.55
1887,"Nov",-3.25
1888,"Nov",2.7
1889,"Nov",2.7
1890,"Nov",1.9
1891,"Nov",-1.53
1892,"Nov",0.81
1893,"Nov",-2.16
1894,"Nov",1.96
1895,"Nov",1.92
1896,"Nov",-0.55
1897,"Nov",0.02
1898,"Nov",-1.14
1899,"Nov",1.94
1900,"Nov",0.65
1901,"Nov",-1.73
1902,"Nov",-0.09
1903,"Nov",1.04
1904,"Nov",0.07
1905,"Nov",-0.25
1906,"Nov",0.7
1907,"Nov",-0.41
1908,"Nov",-0.21
1909,"Nov",-1.97
1910,"Nov",-0.87
1911,"Nov",-0.05
1912,"Nov",1.21
1913,"Nov",4.62
1914,"Nov",-1.41
1915,"Nov",-2.51
1916,"Nov",-0.58
1917,"Nov",1.98
1918,"Nov",0.26
1919,"Nov",-2.07
1920,"Nov",1.48
1921,"Nov",-1.22
1922,"Nov",-0.05
1923,"Nov",-1.97
1924,"Nov",-0.21
1925,"Nov",-2.6
1926,"Nov",0.12
1927,"Nov",-1.25
1928,"Nov",1.68
1929,"Nov",2.15
1930,"Nov",1.44
1931,"Nov",2.78
1932,"Nov",0.98
1933,"Nov",-2.97
1934,"Nov",-1.22
1935,"Nov",1.13
1936,"Nov",-0.17
1937,"Nov",-1.56
1938,"Nov",3.24
1939,"Nov",1.53
1940,"Nov",1.3
1941,"Nov",-0.09
1942,"Nov",-2.11
1943,"Nov",0.08
1944,"Nov",0.81
1945,"Nov",-1.82
1946,"Nov",-1.26
1947,"Nov",-0.25
1948,"Nov",2.64
1949,"Nov",0.54
1950,"Nov",0.78
1951,"Nov",-0.97
1952,"Nov",-1.51
1953,"Nov",3.25
1954,"Nov",1.54
1955,"Nov",-2.14
1956,"Nov",1.39
1957,"Nov",-1.59
1958,"Nov",0.43
1959,"Nov",-0.04
1960,"Nov",1.4
1961,"Nov",-2.15
1962,"Nov",-2.23
1963,"Nov",-0.15
1964,"Nov",1.33
1965,"Nov",-1.78
1966,"Nov",-0.07
1967,"Nov",-0.91
1968,"Nov",-2
1969,"Nov",-1.28
1970,"Nov",0.76
1971,"Nov",-1.46
1972,"Nov",0.64
1973,"Nov",-0.26
1974,"Nov",1.27
1975,"Nov",0.86
1976,"Nov",1.5
1977,"Nov",0.37
1978,"Nov",3.91
1979,"Nov",1.95
1980,"Nov",-2.06
1981,"Nov",1.66
1982,"Nov",1.71
1983,"Nov",-2.28
1984,"Nov",-1.16
1985,"Nov",-2.85
1986,"Nov",3.41
1987,"Nov",-0.67
1988,"Nov",-1.47
1989,"Nov",-2.97
1990,"Nov",-1.48
1991,"Nov",1.68
1992,"Nov",4.52
1993,"Nov",0.77
1994,"Nov",1.68
1995,"Nov",-2.73
1996,"Nov",-0.05
1997,"Nov",-0.99
1998,"Nov",1.13
1999,"Nov",0.3
2000,"Nov",-0.24
2001,"Nov",0.01
2002,"Nov",-0.27
2003,"Nov",0.31
2004,"Nov",-0.55
2005,"Nov",-1.01
2006,"Nov",2
2007,"Nov",-1.67
2008,"Nov",-1.3
2009,"Nov",1.68
2010,"Nov",-3.34
2011,"Nov",0.74
2012,"Nov",-1.11
2013,"Nov",0.04
2014,"Nov",-2.17
2015,"Nov",3.54
2016,"Nov",-1.61
2017,"Nov",NA
1821,"Dec",NA
1822,"Dec",-0.73
1823,"Dec",-0.2
1824,"Dec",-0.01
1825,"Dec",-1.31
1826,"Dec",-0.59
1827,"Dec",2.7
1828,"Dec",3.04
1829,"Dec",-0.43
1830,"Dec",-3.13
1831,"Dec",0.36
1832,"Dec",3.32
1833,"Dec",4.17
1834,"Dec",0.11
1835,"Dec",-1.46
1836,"Dec",-1.41
1837,"Dec",1.37
1838,"Dec",2.55
1839,"Dec",-0.63
1840,"Dec",-2.43
1841,"Dec",0.21
1842,"Dec",0.51
1843,"Dec",3.13
1844,"Dec",-1.9
1845,"Dec",0.83
1846,"Dec",-2.55
1847,"Dec",1.76
1848,"Dec",2.55
1849,"Dec",-1.24
1850,"Dec",2.36
1851,"Dec",1.74
1852,"Dec",1.03
1853,"Dec",-4.28
1854,"Dec",2.42
1855,"Dec",-1.66
1856,"Dec",-0.23
1857,"Dec",3.51
1858,"Dec",3.01
1859,"Dec",-1.31
1860,"Dec",-2.14
1861,"Dec",-1.5
1862,"Dec",2.92
1863,"Dec",2.17
1864,"Dec",-0.77
1865,"Dec",2.57
1866,"Dec",2.14
1867,"Dec",-0.55
1868,"Dec",2.01
1869,"Dec",-0.69
1870,"Dec",-3.52
1871,"Dec",-0.18
1872,"Dec",-1.09
1873,"Dec",2.01
1874,"Dec",-2.12
1875,"Dec",0.08
1876,"Dec",-1.13
1877,"Dec",2.16
1878,"Dec",-3.31
1879,"Dec",0.58
1880,"Dec",0.52
1881,"Dec",2.77
1882,"Dec",-1.69
1883,"Dec",0.91
1884,"Dec",1.94
1885,"Dec",-0.03
1886,"Dec",0.12
1887,"Dec",-1.62
1888,"Dec",1.25
1889,"Dec",2.3
1890,"Dec",-2.75
1891,"Dec",2.86
1892,"Dec",-1.05
1893,"Dec",1.86
1894,"Dec",0.94
1895,"Dec",0.02
1896,"Dec",1.86
1897,"Dec",1.35
1898,"Dec",3.14
1899,"Dec",-0.87
1900,"Dec",3.5
1901,"Dec",-1.38
1902,"Dec",1.27
1903,"Dec",-1.09
1904,"Dec",0.88
1905,"Dec",1.85
1906,"Dec",0.03
1907,"Dec",1.18
1908,"Dec",1.47
1909,"Dec",-0.48
1910,"Dec",-0.1
1911,"Dec",3.02
1912,"Dec",3
1913,"Dec",1.23
1914,"Dec",2.23
1915,"Dec",-0.65
1916,"Dec",-1.8
1917,"Dec",-2.8
1918,"Dec",2.32
1919,"Dec",2.86
1920,"Dec",-0.46
1921,"Dec",2.18
1922,"Dec",1.47
1923,"Dec",1.25
1924,"Dec",3.86
