"yr","SOI.mean","SOI.max","SOI.min","SOI.mean.win","SOI.mean.spr","SOI.mean.sum","SOI.mean.fal"
1972,-0.483333333333333,1.1,-1.6,0.733333333333333,-0.733333333333333,-1.1,-0.833333333333333
1973,0.741666666666667,2.6,-1.4,-0.333333333333333,0.533333333333333,1.03333333333333,1.73333333333333
1974,1.1,2.4,-0.1,2.3,0.766666666666667,1,0.333333333333333
1975,1.33333333333333,2.1,-0.5,0.633333333333333,1.03333333333333,2,1.66666666666667
1976,0.316666666666667,1.7,-1.1,1.6,0.333333333333333,-0.933333333333333,0.266666666666667
1977,-0.633333333333333,1.2,-1.3,0.1,-0.6,-0.9,-1.13333333333333
1978,-0.0666666666666667,1.4,-2.7,-1.06666666666667,0.6,0.366666666666667,-0.166666666666667
1979,0.141666666666667,1.3,-0.7,0.233333333333333,0.333333333333333,0.4,-0.4
1980,-0.0666666666666667,0.4,-0.6,0.1,-0.2,-0.0333333333333333,-0.133333333333333
1981,0.241666666666667,1.2,-1.3,-0.366666666666667,0.633333333333333,0.6,0.1
1982,-0.875,1.2,-2.6,0.7,-0.4,-1.63333333333333,-2.16666666666667
1983,-0.758333333333333,0.9,-3.6,-3.16666666666667,-0.1,0.133333333333333,0.1
1984,0.141666666666667,0.9,-0.3,0.3,0.0666666666666667,0.233333333333333,-0.0333333333333333
1985,0.283333333333333,1.2,-0.4,0.566666666666667,0.4,0.3,-0.133333333333333
1986,-0.0833333333333333,1,-1.4,0.166666666666667,0.366666666666667,-0.2,-0.666666666666667
1987,-0.933333333333333,0,-1.4,-1.06666666666667,-1.26666666666667,-1.1,-0.3
1988,0.816666666666667,1.8,-0.4,0.0333333333333333,0.366666666666667,1.43333333333333,1.43333333333333
1989,0.708333333333333,1.6,-0.5,1.26666666666667,1.16666666666667,0.366666666666667,0.0333333333333333
1990,-0.116666666666667,1.2,-1.8,-0.766666666666667,0.566666666666667,-0.133333333333333,-0.133333333333333
1991,-0.575,0.6,-1.8,0.0666666666666667,-0.566666666666667,-0.633333333333333,-1.16666666666667
1992,-0.825,0.4,-2.9,-1.93333333333333,-0.433333333333333,-0.0333333333333333,-0.9
1993,-0.65,0.2,-1.2,-0.7,-0.766666666666667,-0.8,-0.333333333333333
1994,-0.825,0.3,-1.6,-0.166666666666667,-0.8,-1.36666666666667,-0.966666666666667
1995,-0.0166666666666667,0.8,-0.7,0.1,-0.333333333333333,0.333333333333333,-0.166666666666667
1996,0.675,1.2,-0.1,0.8,0.766666666666667,0.666666666666667,0.466666666666667
1997,-0.733333333333333,1.7,-1.5,0.6,-1.1,-1.2,-1.23333333333333
1998,-0.025,1.4,-2.7,-2.36666666666667,-0.0333333333333333,1.13333333333333,1.16666666666667
1999,0.85,1.8,-0.1,1.36666666666667,0.633333333333333,0.266666666666667,1.13333333333333
2000,0.85,1.8,-0.2,1.23333333333333,0.466666666666667,0.466666666666667,1.23333333333333
2001,0.258333333333333,1.7,-0.8,1.2,0,-0.133333333333333,-0.0333333333333334
2002,-0.325,1.1,-1.1,0.433333333333333,-0.366666666666667,-0.7,-0.666666666666667
2003,-0.0916666666666666,1.1,-0.7,-0.4,-0.333333333333333,0.1,0.266666666666667
2004,-0.258333333333333,1.2,-1.3,0.1,-0.233333333333333,-0.366666666666667,-0.533333333333333
2005,-0.183333333333333,1.2,-3.1,-0.833333333333333,-0.333333333333333,0.1,0.333333333333333
2006,0.025,1.8,-1.3,1.2,0.133333333333333,-0.733333333333333,-0.5
2007,0.266666666666667,1.7,-0.8,-0.233333333333333,0.1,0.1,1.1
2008,1.125,2.6,-0.1,1.93333333333333,0.4,0.833333333333333,1.33333333333333
2009,0.166666666666667,1.9,-1.2,1.13333333333333,0.266666666666667,0.1,-0.833333333333333
2010,0.908333333333333,2.9,-1.5,-1.1,0.833333333333333,1.93333333333333,1.96666666666667
2011,1.4,2.7,0.2,2.5,0.833333333333333,0.8,1.46666666666667
2012,0.133333333333333,1.1,-0.6,0.766666666666667,-0.233333333333333,0,0
2013,0.45,1.5,-0.2,0.4,0.733333333333333,0.433333333333333,0.233333333333333
2014,-0.133333333333333,1.4,-0.9,0.2,0.5,-0.533333333333333,-0.7
2015,-0.791666666666667,0.2,-1.7,-0.433333333333333,-0.433333333333333,-1.36666666666667,-0.933333333333333
2016,-0.191666666666667,1.2,-2.2,-1.43333333333333,-0.0666666666666667,0.766666666666667,-0.0333333333333333
